WPS Rank,,,Women Peace and Security Index,Education, ,Employment,,Financial Inclusion,,Cell Phone Use,,Parliamentary Representation,,Absence of legal discrimination,,Access to justice,,Maternal mortality ratio,,Son bias,,Intimate partner violence ,,Community safety,,Political violence targeting women,,Proximity to conflict
,East Asia and the Pacific,,0.674,7.6,,59,,78.4,,95,,24,,76.9,,2.013,,77.4,,109.1,,8.5,,82.9,,0.022,,8.5
,Latin America and the Caribbean,,0.626,9,,55.7,,63.4,,86.1,,31.2,,85.1,,2.061,,85,,104.4,,8,,39.5,,0.381,,43.5
,Middle East and North Africa,,0.565,8.6,,21.6,,41.2,,80.5,,15.5,,48.8,,1.694,,53.8,,105.3,,18.3,,65.5,,0.126,,34.2
,South Asia,,0.576,6,,34.1,,65.8,,54.9,,16.4,,69.2,,2.163,,135.3,,106.7,,18.3,,58.6,,0.028,,18.1
,Sub Saharan Africa,,0.495,5,,62.5,,40.8,,65.6,,24.4,,71.7,,2.205,,506.9,,103.4,,20.5,,47.6,,0.151,,37
,Fragile States,,0.451,5.4,,53.5,,34.3,,64.6,,19.8,,62.2,,1.791,,539.7,,104.1,,20.8,,49.1,,0.268,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,,0.645,8.3,,53.1,,70.5,,80.4,,23,,75.7,,2.267,,212,,105.7,,12.9,,64.3,,0.08,,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,
,a Data refer to the most recent year within the indicated interval,,,,,,,,,,,,,,,,,,,,,,,,,,,
,b Refers to 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c Data are from the UN Women Global Database on Violence Against women. (http://evaw-global-database.unwomen.org/en). Based on DHS Data.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,d Refers to 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
,f Refers to 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"g Modelled estimates by the Institute for Health Metrics and Evaluation, http://ghdx.healthdata.org/record/ihme-data/global-sustainable-development-goals-sdg-intimate-partner-violence-indicator-1990-2019.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,h Refers to 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
,i Refers to 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
,j Refers to 2019.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,k This number represents the female share of seats in deliberative bodies of the local councils of West Bank (SDG 5.5.1) and refers to 2018.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l Refers to the 2016 election for the Legislative Council of Hong Kong. See Research Office Legislative Council Secretariat (2018). Women's participation in public affairs in Hong Kong. https://www.legco.gov.hk/research-publications/english/1819issf02-womens-participation-in-public-affairs-in-hong-kong-20181016-e.pdf affairs in Hong Kong.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"m Sudan's National Assembly (Parliament) was elected in April 2015 and was suspended in October 2019,",,,,,,,,,,,,,,,,,,,,,,,,,,,
,n Haiti's Parliament was elected in October 2015 and disolved in 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o Based on the counts reported by the Taipei Times https://www.taipeitimes.com/News/taiwan/archives/2022/01/24/2003771965,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p Venezuela's Parliament elected 2015 was suspended in March 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,q Afghanistan's Parliament elected in October 2018 was disolved in August 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r Myanmar's Parliament was elected in November 2020 and suspended in February 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s Based on the counts reported for the House of representatives at https://www.camara.pr.gov/page-team/  and the counts reported for the Senate at https://en.wikipedia.org/wiki/27th_Senate_of_Puerto_Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"t Imputed value, calculated as the mean of the regional and the income group averages.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"u In calculating the WPSI value, MMR is capped at 500.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"v In calculating the WPSI value, MMR is floored at 4.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Education refers to the mean years of schooling for female populaiton, ages 25 and older.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Employment refers to the female employment to population ratio, that is the number of employed women and girls, ages 25 - 64, expressed as a percent of the total of female population in that age group.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Financial inclusion refers to the percentage of women and girls, ages 15 and older, who report having an account (by themselves or together with someone else) at a bank or another type of financial institution.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cell phone use is the percentage of women and girls, ages 15 and older, who report having a mobile phone that they use to make and receive personal calls.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parliamentary representation refers to the percentage of total seats in lower and upper houses of national parliaments held by women.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Absence of legal discrimination: The absence of legal discrimination indicator measures the degree (0 to 100) to which the laws and regulations differentiate between women and men, or protect womenÕs opportunities, across 35 aspects of life and work. In 2021, this indicator is directly drawn from the 2021 World Bank's 'Women, Business and Law Index'.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Access to justice is V-Dem (Varietes of Democracy) indicator based on expert judgements/responses to question ""Do women enjoy equal, secure, and effective access to justice?"" This question specifies the extent to which women can bring cases before the courts without risk to their personal safety, trials are fair, and women have effective ability to seek redress if public authorities violate their rights, including the rights to counsel, defense, and appeal. Ordinal responses are converted to interval scale by the Bayesian item response theory measurement model.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Maternal mortality ratio is the number of deaths due to pregnancy-related causes per 100,000 live births. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Son bias: Sex ratio at birth (ratio of male births per female births). An excess number of birth of boys over girls relative to demographic norms (ratio of 1.05 boys to 1.00 girls). Reflects discrimination against girls.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Intimate partner violence:  The percentage of women, ages 15 to 49, who experienced physical or sexual violence committed by their intimate partner 12 months preceding the survey from which the information is gathered. Cross-country comparison should be made with care as reference population may differ by country.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Community safety: Percentage of females, ages 15 years and older, who responded 'Yes' to the Gallup World Poll question ""Do you feel safe walking alone at night in the city or area where you live?"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Political violence targeting women (PVTW) refers to civilian targeting events in which women and/or girls are the ‘target’ of the violence. They are assumed to be the target when the victim(s) of the event are composed entirely of women/girls, when the majority are women/girls, or if the primary target was a woman/girl. It is expressed as the number of events per 100,000 women.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Proximity to conflict: Share of female population living within 50 kilometers of an armed conflict event at least once during the period 2021-2022.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Main data sources ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Education: UNESCO Institute for Statistics. http://data.uis.unesco.org/. Accessed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Employment: ILO. https://ilostat.ilo.org/topics/employment/. Access April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial Inclusion: World Bank. Global Findex Database. https://www.worldbank.org/en/publication/globalfindex. Accessed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cell Phone Use:  Gallup (2023). World Poll. Accessesed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Parlimentary Representation: Inter-Parlimentary Union. Monthly ranking of women in national parliaments. https://data.ipu.org/women-ranking?month=3&year=2023. Accessed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Absence of legal discrimination: World Bank. Women, business and the law.  https://wbl.worldbank.org/en/wbl. Accessed April 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Access to justice: V-Dem dataset, version 1.3. https://www.v-dem.net/data/the-v-dem-dataset/ Accessed April 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maternal mortality ratio: UN SDG indicator database. Indicator 3.1.1. https://unstats.un.org/sdgs/dataportal/database. Accessed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Son bias: United Nations Department of Social and Economic Affairs. World Population Prospects, 2022 Revision. (https://population.un.org/wpp/).  Accessed April 2022.  The official name of the indicator is 'sex-ratio at birth'. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Intimate partner violence: UN SDG indicators database. Accessed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Community safety: Gallup (2023). World Poll. Accessesed April 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Political violence targeting women (PVTW), number of events per 100,000 women: Armed Conflict Location & Event Data Project (ACLED), 2023 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Proximity to conflict:  Uppsala Conflict Data Program. UCDP Georeferenced Event Dataset (GED) Global version 23.1. Accessed July 2023. Calculated by PRIO. See also: Davies, Shawn, Therese Pettersson & Magnus Öberg (2023). Organized violence 1989-2022 and the return of conflicts between states?. Journal of Peace Research 60 (4) and Sundberg, Ralph and Erik Melander (2013) Introducing the UCDP Georeferenced Event Dataset. Journal of Peace Research 50(4).",,,,,,,,,,,,,,,,,,,,,,,,,,,
